,movie,years,mpaa_ratings,fan_stars,genres,creators,imdb_reference
729,The Ace,2016,-,2.3,"['Short', 'Drama']","['Guillermo Ortiz Pichardo', 'Matthew McKelligon', 'Zachary Roozen', 'Carolyn Crotty', 'Aric Floyd']",tt4866394
730,The Fall of '55,2006,Not Rated,6.3,"['Documentary', 'Biography', 'Crime']","['Seth Randal', 'Ron Bess', 'Peter Boag', 'Jack Butler', 'Melvin Dir']",tt0823174
731,Prideland,2020 TV Movie,-,7.6,['Documentary'],"['Katherine Linton', 'Dyllon Burnside']",tt1240199
732,Prick,V2014,-,-,['Short'],['Jake Narang'],tt4733656
733,Check It,2016,Not Rated,6.9,['Documentary'],"['Dana Flor', 'Toby Oppenheimer']",tt5299014
734,Dannyboy,2020 TV Movie,-,-,"['Comedy', 'Drama']","['Veronica Fearon', 'Ant Jackson', 'Rochelle Payne', 'Viktoria Petrova', 'Rosa Caines', 'Laura Carr', 'Gustavo Castro', 'Naomi Chester']",tt1153659
735,Torta de Calabacín,2019,-,-,"['Short', 'Drama']","['Fernando Díaz', 'Pedro Borgo', 'Theylor Plaza', 'Lya Oyarzábal']",tt1048604
736,Big Joy: The Adventures of James Broughton,2013,Not Rated,7.2,['Documentary'],"['Stephen Silha', 'Eric Slade', 'Dawn Logsdon', 'James Broughton', 'Neeli Cherkovski', 'Jack Foley', 'Alex Gildzen']",tt2048708
737,Right Side/Blind Side,2014,-,-,"['Short', 'Drama']","['Wes Laurie', 'Leslie Jordan', 'James Craigmiles', 'Charles S. Frank', 'Liam Johnson']",tt3491052
738,Sports!,2018,-,6.5,"['Short', 'Comedy']","['Kyle Krieger', 'Cody Callahan', 'Zack Graves', 'Eduardo Sanchez-Ubanell']",tt9191040
739,Room Closet - Truth or Dare,2019,-,5.6,"['Short', 'Comedy', 'Romance']","['Diego De Vidts', 'Daniel Agmon', 'Jack Miller', 'Roberta Alaman', 'Andrew Seifer']",tt1216882
740,From Nuns & Prostitutes,,-,-,"['Short', 'Drama']","['Shamila Lengsfeld', 'Jessy Mibes', 'Becky Reusser', 'Michael Weber']",tt4685280
741,En tránsito,2017,-,7.1,['Documentary'],['Constanza Gallardo'],tt7244730
742,Unicornio,2014,-,6.2,"['Short', 'Drama', 'Romance']","['Rodrigo Bellott', 'Mauricio Añez', 'Mattias Betten', 'Olivier Cauchie', 'Arturo Lora']",tt3312706
743,The Bus from Blooperville,2005 Video,-,-,"['Documentary', 'Short', 'Biography']","['Bill Hunter', 'Guy Pearce', 'Terence Stamp', 'Hugo Weaving']",tt7031272
744,Bubble,2019,-,7.4,"['Short', 'Comedy', 'Drama']","['Alyssa Lerner', 'Kaitlyn Fae', 'Sara Young Chandler', 'Marita de Lara', 'Haynes Brooke']",tt1019916
745,Trumped,2019,-,6.5,"['Comedy', 'Drama']","['Rodrigo Vázquez', 'Tessa Hart', 'Nansi Nsue', 'Erin Wilson', 'Carlos Mapano']",tt6902748
746,Dream House,2019,Not Rated,7.1,"['Short', 'Comedy', 'Drama']","['Jeff Bemiss', 'Ryan Farley', 'Carol Lambert', 'Lance A. Williams', 'Sean Harris']",tt1026511
747,Fuck You Jessica Blair,2017,-,6.8,"['Comedy', 'Drama']","['Karni Haneman', 'Jessy Danner', 'Guy German', 'Karni Haneman', 'Maya Maron']",tt6414704
748,Difficult Love,2010,-,-,['Documentary'],"['Peter Goldsmid', 'Zanele Muholi', 'Zanele Muholi']",tt1247109
749,Stephen Fry: Out There,2013,-,7.9,['Documentary'],"['Stephen Fry', 'Andrew', 'João Silvério Trevisan', 'Renata Peron']",tt3270936
750,Transtrenders,2019,Not Rated,8.3,"['Short', 'Comedy']","['Natalie Wynn', 'Natalie Wynn']",tt1126615
751,Luurankoluola,2017,-,5.1,"['Horror', 'Mystery', 'Thriller']","['Elmo Rautio', 'Hanna Louhimo', 'Epe Niiranen', 'Aino-Maria Lehtosaari', 'Vilma Emmiina Kinnunen']",tt6648002
752,416,2004,-,8.8,['Documentary'],['Jim Fields'],tt4846490
753,At 10 PM,2021,-,-,"['Short', 'Drama']","['Alex Meridy', 'Peter Ramirez', 'Thionta Buckner', 'Devonte Hoy', 'Jay Penso']",tt1445516
754,Cocoon,2017,-,8.4,"['Short', 'Drama']","['Liying Mei', 'Jinger Li', 'Yang Jinger', 'Yuan Xu', 'Zhe Gong']",tt6217140
755,Karuvarai Pookkal,2011,-,-,['Drama'],"['Ips Xavier', 'Pallavi', 'Julia Robert', 'Living Smile Vidya']",tt1084612
756,One of the Guys,2018,-,-,['Documentary'],"['Doris Buttignol', 'Vincent Lamarre']",tt9686304
757,This Is Drag,2015,-,4.9,['Documentary'],"['Mark Kenneth Woods', 'Roy Haylock', 'Danny Noriega', 'Shane Jenek', 'Greg Meyer']",tt4289100
758,Somewhere Over That Rainbow,2016,-,8.5,['Drama'],"['Rhiannon Williams', 'Ajay Banks', 'Moise Capalb', 'Claudine Dearn', 'Joshua Diaz']",tt6325188
759,Friends and More,2019,-,-,"['Comedy', 'Drama', 'Romance']","['Cassandra Blair', 'Shelli Boone', 'Niketta Scott', 'Emily Torres']",tt3975740
760,Children 404,2014,-,7.1,['Documentary'],"['Askold Kurov', 'Pavel Loparev']",tt3976140
761,The Right to Love: An American Family,2012,-,7.9,['Documentary'],"['Cassie Jaye', 'Justin R. Cannon', 'Bryan Leffew', 'Jay Leffew', 'Denise Miney']",tt1571416
762,The 50's,2019,-,6.4,"['Short', 'Drama', 'Romance']","['Cory Ewing', 'Alex Rollins', 'Andrew Neighbors', 'Mikaella Abitbol']",tt1208707
763,Burbs,2017,-,-,"['Comedy', 'Drama']","['Jacinta Compton', 'Alice May Connolly', 'Johanna Cosgrove', 'Ruby Hansen']",tt7584424
764,Loving Martin,2019,-,5.6,"['Short', 'Drama']","['Elmer J. Howard', 'Scott Olson', 'Allen Montes', 'Rhayne Thomas', 'Elmer J. Howard']",tt9500984
765,Dyke Society,2017,-,-,['Comedy'],"['Batel Deloya', 'Sharon Kenett', 'Agam Schuster', 'Rony Stav']",tt6380260
766,Pink,2018,-,-,"['Comedy', 'Drama']","['Austin Herring', 'Conner Marx', 'Katie Gunderson', 'Brett Gentile', 'Michael Mihm']",tt4694510
767,A Bad Penny,2018,-,-,['Comedy'],"['Natalys Willcox', 'Katherine Press', 'Pippa Haywood', 'Zahra Ahmadi', 'Sophie Delora Jones']",tt7804672
768,Hayley Kiyoko & Kehlani: What I Need,2018 Video,-,8.8,"['Short', 'Music']","['Hayley Kiyoko', 'Kehlani', 'Hayley Kiyoko', 'Tim Mikulecky', 'Sian Vilaire']",tt8494002
769,Are You Coming Out?,2020,-,-,"['Short', 'Comedy']","['Enrique Suarez', 'Ken Gregory', 'Victoria Palma', 'Gianna Salazar']",tt1166274
770,Con Lugar,2017,-,-,['Comedy'],"['Andrés B. Durán', 'Sheyla Ferrera', 'Joan Kuri']",tt1177968
771,Skumjas,2021,-,-,"['Short', 'Drama', 'Romance']","['Yassin Koptan', 'Melodie Casta', 'Kayla Eva', 'Edward Hernandez', 'Whit Spurgeon']",tt1164441
772,Guilt,2018,-,-,['Thriller'],"['Tripp Ali', 'Javontae Brownlee', 'Nelson J. Davis', 'Jarrius Lindsay']",tt1090570
773,Retail Rejects,2016,-,6.3,['Comedy'],"['Tomas Mauro', 'Tiffany Alycia Tong', 'Allie Pev', 'Zlatko Stipic']",tt6244756
774,Little Potato,2017,TV-MA,7.5,"['Documentary', 'Short', 'Biography']","['Wes Hurley', 'Nathan M. Miller', 'Wes Hurley', 'Elena Bridges', 'Benjamin Jakupcak', 'Matthew Cotner']",tt6143986
775,The Big Snore,2020,-,6.1,"['Short', 'Comedy', 'Drama']","['Matt Guerin', 'James Chapman', 'Scotty Murray']",tt1213809
776,F-Word,2021,-,-,['Comedy'],"['Heidi Germaine Schnappauf', 'Michael Wawrzynek', ""Jessica O'Hara-Baker"", 'Juliet Biscotti', 'Karl Kleist']",tt1001085
777,Room 303,2012,Not Rated,6.7,"['Short', 'Drama', 'Mystery']","['Manny Mahal', 'Malcolm McQueen', 'Deaclan Cartfellow', 'Brandon Lai', 'Ryan Robinson']",tt2200802
778,A Woman Reported,2004,-,5.9,"['Short', 'Crime', 'Drama']","['Chris J. Russo', 'Moira Kelly', 'Kasi Brown', 'Leonardo Ciacci', 'Ted Shred']",tt0392918
779,Somewhere Over the Rainbow,2014 TV Movie,-,4.8,['Documentary'],"['Birgit Herdlitschke', 'Romy Haag', 'Inga Humpe', 'Michael Michalsky', 'Jimmy Somerville']",tt3866874
780,Costa Brava,1995,-,6.2,"['Comedy', 'Romance']","['Marta Balletbò-Coll', 'Desi del Valle', 'Marta Balletbò-Coll', 'Montserrat Gausachs', 'Joseph Maria Brugues']",tt0109489
781,"Two Soft things, Two Hard Things",2016,-,6.5,"['Documentary', 'History', 'News']","['Mark Kenneth Woods', 'Michael Yerxa', 'Jack Anawak', 'Alethea Arnaquq-Baril', 'Allison Brewer', 'Franco Buscemi']",tt5503490
782,Toxic Deduction,2018,-,-,"['Short', 'Mystery']","['Kevin James', 'Helena Holmes', 'Monika Karanedeva', 'Yashar Ozbaris', 'Chris Polick']",tt8485802
783,The G Force,2016 TV Movie,-,-,['Comedy'],"['J.D. Newitt', 'Chris Cope', 'Cristopher Thomsen Crain', 'Ted Grose', 'Beverly Lynne']",tt6302348
784,Guardian,2018,Not Rated,5.2,"['Short', 'Drama']","['Nicolas Jara', 'Virginia Blanco', 'Carlos Flores Jr.', 'Jeremy Champ Morales', 'Roy Manzanares']",tt8012036
785,Pride,2017,-,-,['Documentary'],['Ashley Joiner'],tt6722978
786,Infinito Enquanto Dure,2019,-,7.8,"['Short', 'Romance']","['Akira Kamiki', 'Michel Pereira', 'Julio Aracack', 'Lisi Andrade', 'Paulo Ernesto']",tt7478508
787,Toda Forma de Amor,2019,-,6.8,['Drama'],"['Guta Ruiz', 'Alexandre Cioletti', 'Christiana Ubach', 'Wallie Ruy']",tt1162203
788,Souru furawâ torein,2013,-,4.3,['Comedy'],"['Hiroshi Nishio', 'Mitsuru Hirata', 'Sayoko', 'Marin', 'Tadafumi Ando']",tt3162406
789,Cecil & Carl,2016,-,9.0,"['Documentary', 'Short']","['Elvis Leon', 'Gastón Yvorra']",tt5225816
790,Lucky,2014,Unrated,5.9,"['Documentary', 'Biography']","['Laura Checkoway', 'Lucky Torres']",tt2452484
791,Hashkama,2019,-,-,"['Short', 'Drama']","['Sivan Noam Shimon', 'Lee Malka', 'Mili Eshet', 'Eyal Salama', 'Ben Rabian']",tt1085036
792,A Scottish Play,,-,-,['Musical'],['-'],tt6608366
793,Queen's English,2018,-,-,['Comedy'],"['David Merten', 'Jordan De Leon', 'Amelia Windom', 'Talley Gale']",tt1081916
794,Truck Slut,2018,-,-,"['Short', 'Drama']","['Ryan Craver', 'Jack Champion', 'Cece Kelly', 'Alex Haydon', 'Ariel Rivera']",tt9353422
795,Possession,2018,-,-,['Short'],"['Conor Tierney', 'Sidney Baker', 'David Barnett', 'Brock Birkner', 'Chris Greig']",tt9544744
796,"Rogéria, Senhor Astolfo Barroso Pinto",2018,-,7.4,['Documentary'],"['Pedro Gui', 'Rogéria', 'Gabriel Sabino', 'Cauê Rodrigues', 'Fernanda Thurann']",tt9347584
797,Encounter with Joe,2021,Unrated,-,['Short'],"['R. Christian Anderson', 'R. Christian Anderson', 'Grover James Taylor']",tt1181693
798,I Won't Sing You Lullabies,2013,-,-,['Talk-Show'],"['Beka Ricci', 'Sophie Ricci II', 'Erica Burns', 'Doug Devenski']",tt1080971
799,I Hate New York,2018,PG,6.5,['Documentary'],"['Gustavo Sánchez', 'Amanda Lepore', 'Sophia Lamar', 'Chloe Dzubilo', 'Bibbe Hansen']",tt7390380
800,Holy Thursday (The Last Supper),2013,-,5.7,"['Short', 'Drama']","['Antony Hickling', 'Manuel Blanc', 'Gaëtan Vettier', 'Amanda Dawson', 'Gala Besson']",tt2924520
801,BoTTom: The True Meaning of Love & Acceptance,2012,Approved,-,"['Comedy', 'Drama', 'Mystery']","['A.V.A. LaReaux', 'Veronese Anderson', 'Menia F. Buckner', 'Robert Lampkins', 'A.V.A. LaReaux']",tt2540260
802,Louder Than Words,2017,Not Rated,8.2,"['Short', 'Drama', 'Romance']","['Julio Dowansingh', 'Marty Lauter', 'Luke Farley', 'Apryl Wilson']",tt6952754
803,To You,2020,-,-,"['Short', 'Romance']","['Mary Ann Pianka', 'Ari Agbabian', 'Drew Canan', 'Alex Fragoso', 'Mary Ann Pianka']",tt1207741
804,Confessions: The Hours,2020,-,-,['Short'],"['Natascha Graham', 'Delaney Brown']",tt1389616
805,A Mind Sang,2019,-,7.5,"['Animation', 'Short', 'Fantasy']",['Vier Nev'],tt1252982
806,Ask Again Later,2010,-,6.0,"['Short', 'Romance']","['Jessica Smith', 'Natalie Maynard', 'Carly Hobbs', 'Jessica Miller']",tt1794731
807,Barley,2021,-,-,"['Short', 'Drama']","['Andrija Mugosa', 'Momcilo Otasevic', 'Milivoje Obradovic', 'Kristina Stevovic']",tt1440471
808,Same Sex,2016,-,-,['Comedy'],"['Rose Marie Brown', 'Gianluigi Carelli', 'Shante DeLoach', 'Patricia Kalis']",tt5687914
809,Ava,V2018,-,-,['Short'],"['Caley Brooke', 'Caley Brooke', 'Ella Fields', 'Veronica Redpath', 'Kayleigh Rose']",tt9265270
810,In My Room,2017,-,7.1,['Documentary'],['Ayelet Albenda'],tt6842330
811,Sober,,-,-,"['Comedy', 'Drama']",['Kristen Vaganos'],tt1160198
812,Undetectable,2015,-,5.9,"['Short', 'Drama', 'Thriller']","['Armand Petri', 'Bob Hosken', 'Kyle Patrick Darling', 'Joshua Sowden', 'Mari-Liis Userdnov']",tt3413044
813,What Is Love? (Sizzle Reel),2021,-,-,"['Short', 'Drama']","['Domo Ddante', 'Jake Roberson', 'Russell Scott']",tt1427975
814,Nakedyouth,2007,-,6.0,"['Animation', 'Short', 'Romance']",['Kojiro Shishido'],tt1280036
815,My Best Gay Friends,2012,-,7.9,"['Comedy', 'Drama', 'Romance']","['Tran Nguyen Kim Han', 'Huynh Nguyen Dang Khoa', 'Ngo Xuan Nhat']",tt6426526
816,Smrt pedofila,2004 TV Movie,-,6.5,"['Crime', 'Thriller']","['Ivan Pokorný', 'Jana Janeková', 'Jan Hrusínský', 'Robert Jasków', 'Vojtech Kotek']",tt1423992
817,"Dose, trese, katorse",2011,-,-,['Drama'],"['Crisaldo Pablo', 'Jaycob Bulaong', 'Joshua Domingo', 'Kathleen Empleo', 'Joeffrey Javier']",tt1980091
818,Missed Connections,2017,-,8.0,['Short'],"['Michelle Sam', 'Nikki Bailey', 'Lorraine DeGraffenreidt', 'Jermell Deshauan', 'Lonnie Finley']",tt7085066
819,Para Onde Voam as Feiticeiras,2020,-,7.1,['Documentary'],"['Beto Amaral', 'Carla Caffé', 'Eliane Caffé', 'Ave Terrena Alves', 'Fernanda Ferreira Ailish', 'Gabriel Lodi', 'Mariano Mattos Martins']",tt1345560
820,Cream Puff,2014,-,7.8,"['Short', 'Comedy', 'Drama']","['David Jenny', 'Gavin Clements', 'Nathan Crispo', 'Elizabeth Cumberland', 'Austin Haws']",tt4332116
821,Takeoff,2021,-,-,"['Short', 'Drama', 'Romance']","['Ryan Lesica', 'Zack Booth', 'Dante Quevedo']",tt1340037
822,The Sum of Us: Interview with Jack Thompson,1994 Video,-,-,"['Documentary', 'Short', 'Biography']","['Jack Thompson', 'John Polson']",tt1470280
823,The Circuit,2020,-,-,"['Documentary', 'Reality-TV']","['Ian Frost', 'Shane Jackson', 'Joe Pacheco', 'Alec Brian']",tt1240422
824,100 Boyfriends Mixtape,2016,-,6.3,"['Short', 'Comedy']","['Brontez Purnell', 'Brontez Purnell', 'Pablo Schmidt-Escobar', 'Manuel Rodrigues', 'Kelly Dezart Smith']",tt5594962
825,Of Love & Law,2017,-,7.3,['Documentary'],['Hikaru Toda'],tt8005776
826,The Danish Boy,2018,-,-,['Short'],"['Eric J Carlson', 'Adam Buzek', 'Craig Austin', 'Andrew Marcus Isley', 'Nikki Casseri']",tt5714604
827,P.D,2014,-,3.9,"['Short', 'Drama']","['Antony Hickling', 'Matthew Allen', 'Arthur Gillet', 'Antony Hickling', 'Sothean Nhieim']",tt3760180
828,You're Dead to Me,2013,-,6.9,"['Short', 'Drama']","['Wu Tsang', 'Carolina Espiro', 'Laura Patalano', 'Harmony Santana']",tt3184924
829,"This Land, Our Voices",2020,-,-,['Documentary'],"['Kevin Bay', 'Julia Thompson']",tt1130224
830,Us,2016,-,6.8,"['Short', 'Drama']","['Caroline Stucky', 'Alice Kremelberg', 'Melody Cheng', 'Margaret Thornhill', 'Jeffrey Greif']",tt5820488
831,An Unsuitable Game,,-,-,"['Drama', 'History', 'Sport']",['Elaine Constantine'],tt1088329
832,The Rot,2020,-,-,"['Short', 'Drama', 'Horror']","['Jonathan Brito', 'Maria-Crystal Melo', 'Jamie Hart', 'Anne Shepherd', 'Elle Magenta']",tt1070814
833,Don't Blame Jack,2019,-,6.3,['Short'],"['Dale John Allen', 'Jordan Tweddle', 'Kane Surry', 'Tracy Gabbitas', ""Lydia L'Scabies""]",tt8706080
834,Charlie,X2016,-,-,"['Short', 'Drama', 'Romance']","['Maitha Alawadi', 'Thomas Grant', 'Juliana Pflaumer', 'Cyril Blake', 'Charlotte Boud']",tt6593030
835,The Story of Yes,2016,-,-,['Documentary'],['Hugh Rodgers'],tt5798108
836,Stained Glass Rainbows,2015,-,5.8,['Documentary'],"['Kent C. Williamson', 'Ric Alba', 'Sean Doty', 'Jonathan Ervin', 'Robert Gagnon']",tt4386532
837,Tuttinsieme,2020,-,6.1,['Documentary'],"['Marco Simon Puccioni', 'Giampietro Preziosa', 'Marco Simon Puccioni']",tt1152682
838,Hazel,2012,-,7.1,"['Short', 'Comedy', 'Drama']","['Tamer Ruggli', 'Maxime Mori', 'Manuela Biedermann', 'Jacqueline Ricciardi', 'Judith Niethammer']",tt2408806
839,Electric Love,,-,-,['Drama'],['-'],tt1091736
840,Breastfriends,2018,-,-,"['Short', 'Comedy', 'Drama']","['Eleanor Rogers', 'Ella Cannon', 'Ali Hardiman', ""Eleanor O'Brien"", 'Slaney Power']",tt1070141
841,The Postie,2019,-,-,"['Short', 'Comedy']","['Jade Winters', 'Kat Ronson', 'Ruby Todd', 'Kate Winton', 'Estella Hause']",tt1139056
842,Tooku de zutto soba ni iru,2013,-,6.4,"['Drama', 'Romance']","['Masahiko Nagasawa', 'Kana Kurashina', 'Yûta Nakano', 'Kana', 'Ema Fujisawa']",tt2393730
843,How to Grow a Tiger Lily,2019,-,6.2,"['Comedy', 'Drama', 'Mystery']","['Anthony Aguiar', 'Mandy Brown', 'Catherine Lerza', 'Ronny Marasigan', 'Hazer Ozcan']",tt1141750
844,Alec Mapa: Baby Daddy,2014,Not Rated,5.9,"['Documentary', 'Biography', 'Comedy']","['Andrea James', 'Jamison Hebert', 'Zion Hebert-Mapa', 'Alec Mapa']",tt3450290
845,Good Morning Pakistan,2018,-,7.2,"['Comedy', 'Mystery', 'Romance']","['Hassan Zee', 'Naghma', 'Ali Raza', 'Meerab Khan', 'Mirza Shabbir']",tt7024660
846,Sahara,2018,-,-,"['Short', 'Drama']","['Aviran Ran', 'Anuar Jour', 'Sivan Noam Shimon', 'Matanya Bar-Shalom', 'Ezel Jaber']",tt1092584
847,Babble and Froth,2021,-,-,"['Comedy', 'Drama']","['Nick Bacash', 'Rebecca Jo Hanbury', 'Charlotte Jo Hanbury', 'Tiff Stevenson']",tt1424551
848,Remember Isobel,2018,-,-,['Drama'],"['Sarah Barbulesco', 'Don Most', 'Bonnie Hellman', 'Ronnie Marmo', 'Shelley K. Booker']",tt1739287
849,The Betrayal,2016,-,7.0,"['Short', 'Drama', 'Thriller']","['Kamila Dydyna', 'Natasha Waugh', 'Kamila Dydyna', 'Mark McAuley', 'Miriam Devitt', 'Hilary Bowen-Walsh']",tt5186846
850,Onision Attacks Me + Embarrasses Himself,2017 Video,-,-,"['Short', 'News']","['Blaire White', 'Gregory Jackson', 'Paul Joseph Watson']",tt7735512
851,Spectrum,2019,-,5.6,"['Short', 'Comedy']","['Christopher Bowles', 'Abigail Henry', 'Kieron Moore', 'Bhasker Patel', 'Alice Barry', 'Adam Sabatti', 'Fleur de Wit']",tt1082295
852,Trunks,2011,Not Rated,6.4,"['Short', 'Comedy', 'Drama']","['David Hewitt', 'Frazer Douglas', 'Kiki Kendrick', 'Alex Magliaro']",tt1959596
853,Homebuddies,2017,-,8.3,['Reality-TV'],"['Niki Ang', 'Garrett Werner', 'Elvina Beck', 'Lisa Coop']",tt8124372
854,The Candidate,2016,-,9.0,"['Short', 'Comedy']","['Michael Hilf', 'Blaire Baron', 'Will Gressman', 'Robin McDonald']",tt5866656
855,Breaking Through,2013,Not Rated,8.2,"['Documentary', 'Biography', 'Drama']","['Cindy L. Abel', 'Tammy Baldwin', 'Alex Wan', 'Kathy Webb', 'Annise Parker']",tt2578950
856,Beard,2018,-,-,"['Short', 'Comedy']","['Emily Maya Mills', 'David Theune', 'Emily Maya Mills', 'Courtney Taylor Burness', 'Luke Duguay']",tt9407442
857,Skit,2020,-,5.4,"['Crime', 'Drama']","['Cecilia Navarrete', 'Álvaro Sastre', 'Paola Marquez', 'Ana Labordeta']",tt1218001
858,Amsterdam,2017,-,6.3,"['Short', 'Drama', 'Romance']","['Sam Langshaw', 'Luke Baweja', 'Claudia Coy', 'Thomas Crotty']",tt7831008
859,Entre os Homens de Bem,2016,-,6.2,"['Documentary', 'Biography']","['Carlos Juliano Barros', 'Caio Cavechini', 'Jean Wyllys', 'Silas Malafaia', 'Marco Feliciano', 'Eurico da Silva']",tt5791944
860,Heybabe,2020,-,-,"['Short', 'Drama']","['Gabriel Shanks', 'Catalin Stelian', 'Cherrye J. Davis', 'Nilan Johnson']",tt1265468
861,Autogynephilia,2018,-,8.5,['-'],"['Natalie Wynn', 'Peter Coffin', 'Natalie Wynn']",tt1129001
862,Before Bloom,2019,-,-,"['Short', 'Drama']","['Ludvig Christian Næsted Poulsen', 'Isa Marie Henningsen', 'Alice Bier Zanden', 'Rikke Wölck', 'Camilla Bendix']",tt1113631
863,Cassandra's Prophecies,,-,-,"['Drama', 'Romance']","['Kelly De Sarla', 'Scott Bailey']",tt7729998
864,Tommy in La La Land,2018,-,-,"['Documentary', 'Reality-TV', 'Talk-Show']","['Kitty Brucknell', 'Grant Davis', 'Joanna Kalafatis', 'Clinton Leupp']",tt7070334
865,Purple Skies,2014,Not Rated,6.4,"['Documentary', 'Family', 'History']","['Sridhar Rangayan', 'Sonal Giani', 'Anand Grover', 'Prashansa Gurung', 'Raj Kanaujiya']",tt3528206
866,Mila Jam: bruised,2018,-,-,"['Short', 'Music']","['Jono Freedrix', 'Eric Miclette', 'Victoria Beltran', 'Dwayne Cooper', 'Laverne Cox', 'Joslyn DeFreece']",tt9692772
867,Beautiful Me,2015,-,-,"['Short', 'Drama']","['Holly Britton', 'Harley Jo', 'Yuri Barcenas', 'Amanda Buhs', 'Gina Palmer', 'Cheyenne Planansky']",tt4801696
868,Iridescence,2017,-,7.5,"['Short', 'Drama', 'Musical']","['Maxime Beauchamp', 'Andrew Nadanyi', 'Jared Khalifa', 'Jhomar Suyom', 'Lara Amelie Abadir']",tt6134100
869,"Kings, Queens, & In-Betweens",2017,-,6.0,"['Documentary', 'Biography']","['Gabrielle Burton', 'Carol Giordano Payne', 'Nina West']",tt3467900
870,I Was Max,2021,-,-,"['Short', 'Drama']","['Lukas Kacinauskas', 'Sarunas Zenkevicius', 'Matas Dirgincius']",tt1411166
871,Mima i Marta - Aktivisticki ljubavni film,2012,-,8.2,"['Documentary', 'Short']","['Damir Radic', 'Sanja Ribicic Radic', 'Mima Simic', 'Marta Susak']",tt2815190
872,Beauty,2019,-,9.0,['Short'],"['Natalie Wynn', 'Natalie Wynn']",tt1126107
873,Gender Critical,2019,-,8.8,['Short'],['Natalie Wynn'],tt1126619
874,She's Not for Me,2018,-,-,"['Short', 'Drama']","['Rye Inglis', 'Mikayla Williamson']",tt1006007
875,Intolerance,2021,-,-,"['Short', 'Drama']","['Adam Somers', 'Stuart Ashworth', 'Paul Edward Davies', 'Craig Poynter', 'Jason Redshaw']",tt1263170
876,Clay of Indigo,2015,-,6.7,"['Short', 'Adventure', 'Drama']","['Zeyu Xu', 'Max King', 'Maxwell King', 'Qi Wang']",tt4486620
877,Chasing the Dragon,2018,-,-,"['Short', 'Crime', 'Drama']","['Eduardo Ayres Soares', 'Emily Conroyd', 'Natalie Day', 'Jack Foriska', 'Walter Mirkss']",tt7936208
878,The Disown,2019,-,-,"['Drama', 'Romance']","['Shahid Tausif Sayyed', 'Mousumi Das', 'Kashef Hashmi', 'Ranjeet Jhaa']",tt1165700
879,"The Sun, the Moon, & the Hurricane",2014,-,7.5,"['Drama', 'Romance']","['Andri Cung', 'Natalius Chendana', 'William Tjokro', 'Gesata Stella', 'Cornelio Sunny']",tt3212916
880,Corky's Hot Ice,2009 Video,PG-13,-,['Comedy'],"['Tore Dahlin', 'Rajiv Shah', 'Dick Kellogg', 'Steven LeMay', 'Prospero Luna']",tt1233267
881,"Sodom, California",2020,-,-,"['Short', 'Drama']","['Steven Littles', 'Kyle Colton', 'Helena-Alexis Seymour', 'Jeremy Pace', 'Erica Whitfield']",tt1035986
882,Mindset,2019,-,8.1,"['Short', 'Drama']","['Amelia Crawford', 'Sophie Renae', 'Chelsea Brown', 'Margarita Gershkovich', 'Gabrielle Bowen']",tt1043300
883,Suffering in Silence,2012,-,8.6,"['Short', 'Drama']","['Ciarra Nevitt', 'Paride Odierna', 'Alexandra Bartholomew', 'Ciarra Nevitt', 'Taye Armani', 'Leo Eaglewood']",tt2725126
884,LoveSwiped,2016,-,4.8,"['Short', 'Comedy']","['Carl Loughlin', 'Joe Gordon', 'Carl Loughlin', 'Benji Taylor', 'Francis Tucker']",tt5517712
885,Foul Play,2018,-,-,['Romance'],"['Tripp Ali', 'Nelson J. Davis', 'Tony DeBerry', 'Darin F. Earl II']",tt8692810
886,Untitled Ruel S. Bayani Project,,-,-,"['Action', 'Comedy', 'Romance']","['Ruel S. Bayani', 'Anne Curtis', 'Bea Alonzo', 'Katrina Halili', 'Jasmine Curtis-Smith']",tt5094058
887,Cold Side of the Pillow,2017,-,-,"['Biography', 'Drama', 'Mystery']","['Attila', 'Attila', 'Jennifer Huva', 'Kevin Richardson', 'Juniper Omoniyi']",tt3832908
888,Devet polozaja samoce,2014,-,7.1,['Drama'],"['Enver Puska', 'Amra Silajdzic', 'Rijad Gvozden', 'Tarik Filipovic', 'Mario Drmac']",tt2807024
889,In Half,2012,Not Rated,6.2,"['Short', 'Drama', 'Romance']","['Adam Tyree', 'Jake Brown', 'Adam Bucci', 'Kim Estes', 'Judy Baker']",tt2385644
890,Conversion Therapist,2019,-,4.9,"['Short', 'Horror', 'Thriller']","['Bears Rebecca Fonté', 'Michael Dickson', 'Sara Fletcher', 'Evelyn Jake', 'Jordan Morgan']",tt8979834
891,"Pop, Pride and Prejudice",2017 TV Movie,Not Rated,6.4,['Documentary'],"['Chris Wilson', 'Russell Tovey']",tt7064370
892,El Tercer Deseo,2018,-,-,['Comedy'],"['Javier Mujica', 'César Bencid', 'Augusto Nitti', 'Carlos Antonio León', 'Thomas Piedra']",tt8036826
893,Dudes,2016,-,5.6,"['Short', 'Comedy']","['Noan Ribeiro', 'Michael Gmur', 'Jakeem Hawkins', 'Anthon Meyer', 'Alexander Quitman Volpi']",tt4746072
894,Twincidents,2017,-,-,"['Comedy', 'Drama']","['Liv Chavez', 'Gwyneth Seward', 'Grace Brunson', 'Cameron Lee Price']",tt7909304
