,movie,years,mpaa_ratings,fan_stars,genres,creators,imdb_reference
166,Freak Show,2017,Not Rated,6.6,"['Comedy', 'Drama']","['Trudie Styler', 'Alex Lawther', 'Ian Nelson', 'AnnaSophia Robb', 'Celia Weston']",tt5089534
167,More Than Only,2017,Not Rated,6.0,"['Comedy', 'Drama', 'Romance']","['Michelle Leigh', 'Jonathan Daniel Miles', 'Bjorn Anderson', 'Beth Dodge', 'Dennis Wells']",tt7390114
168,Sebastiane,1976,X,6.1,"['Drama', 'Romance']","['Paul Humfress', 'Derek Jarman', 'Leonardo Treviglio', 'Barney James', 'Neil Kennedy', 'Richard Warwick']",tt0075177
169,Flawless,1999,R,6.5,"['Comedy', 'Crime', 'Drama']","['Joel Schumacher', 'Robert De Niro', 'Philip Seymour Hoffman', 'Barry Miller', 'Chris Bauer']",tt0155711
170,Screwed,2017,Not Rated,6.3,"['Biography', 'Comedy', 'Drama']","['Nils-Erik Ekblom', 'Mikko Kauppila', 'Valtteri Lehtinen', 'Sanna Majuri', 'Sami Huhtala']",tt6577814
171,HIStory,2017,-,8.3,"['Drama', 'Romance']","['Chun-Haw Hsu', 'Cheng-Yang Wu', 'Andy Bian', 'Ting-Hsuan Chen']",tt7834636
172,The True Adventures of Wolfboy,2019,PG-13,5.6,"['Adventure', 'Crime', 'Drama']","['Martin Krejcí', 'Eve Hewson', 'Chloë Sevigny', 'Chris Messina', 'John Turturro']",tt7262384
173,I Am Michael,2015,Not Rated,5.6,"['Biography', 'Drama', 'Romance']","['Justin Kelly', 'James Franco', 'Zachary Quinto', 'Emma Roberts', 'Charlie Carver']",tt3713030
174,Sorry Angel,2018,Not Rated,6.8,"['Drama', 'Romance']","['Christophe Honoré', 'Vincent Lacoste', 'Pierre Deladonchamps', 'Denis Podalydès', 'Adèle Wismes']",tt7534054
175,Funeral Parade of Roses,1969,Not Rated,7.9,['Drama'],"['Toshio Matsumoto', 'Pîtâ', 'Osamu Ogasawara', 'Yoshimi Jô', 'Koichi Nakamura']",tt0064068
176,4 Moons,2014,Unrated,7.4,"['Drama', 'Romance']","['Sergio Tovar Velarde', 'Antonio Velázquez', 'Alejandro de la Madrid', 'Cesar Ramos', 'Gustavo Egelhaaf']",tt2260850
177,Mario,2018,-,7.4,"['Drama', 'Romance', 'Sport']","['Marcel Gisler', 'Max Hubacher', 'Aaron Altaras', 'Jessy Moravec', 'Jürg Plüss']",tt6999052
178,House of Hummingbird,2018,Not Rated,7.4,['Drama'],"['Bora Kim', 'Ji-hu Park', 'Sae-byeok Kim', 'In-gi Jeong', 'Seung-Yun Lee']",tt8951086
179,The World Unseen,2007,PG-13,6.5,"['Drama', 'Romance']","['Shamim Sarif', 'Lisa Ray', 'Sheetal Sheth', 'Parvin Dabas', 'Nandana Sen']",tt1048174
180,C.R.A.Z.Y.,2005,Not Rated,7.9,"['Comedy', 'Drama']","['Jean-Marc Vallée', 'Michel Côté', 'Marc-André Grondin', 'Danielle Proulx', 'Émile Vallée']",tt0401085
181,Orpheus' Song,2019,Not Rated,5.7,['Adventure'],"['Tor Iben', 'Sascha Weingarten', 'Julien Lickert', 'Henry Morales', 'Kristina Kostiv']",tt1053357
182,Bloom Into You,2018,TV-PG,7.7,"['Animation', 'Drama', 'Romance']","['Tia Lynn Ballard', 'Clint Bickham', 'Luci Christian', 'Amber Lee Connors']",tt8993464
183,Young Hunter,2020,Not Rated,6.1,['Drama'],"['Marco Berger', 'Juan Pablo Cestaro', 'Lautaro Rodríguez', 'Patricio Rodríguez', 'Juan Barberini']",tt1155913
184,Poison,1991,R,6.4,"['Drama', 'Horror', 'Romance']","['Todd Haynes', 'Edith Meeks', 'Larry Maxwell', 'Susan Norman', 'Millie White']",tt0102687
185,Beauty,2021,-,-,"['Drama', 'Romance']","['Andrew Dosunmu', 'Sharon Stone', 'Giancarlo Esposito', 'James Urbaniak', 'Niecy Nash']",tt1136411
186,It's Still Your Bed,2019,Not Rated,7.1,"['Short', 'Drama', 'Romance']","['Tyler Reeves', 'Damian Joseph Quinn', 'Cooper Stone', 'Jonathan Fahn', 'Lauren Elyse Buckley']",tt1049314
187,Can't Stop the Music,1980,PG,4.2,"['Biography', 'Comedy', 'Musical']","['Nancy Walker', 'Ray Simpson', 'David Hodo', 'Felipe Rose', 'Randy Jones']",tt0080492
188,Naked Killer,1992,R,6.0,"['Action', 'Crime', 'Romance']","['Clarence Fok', 'Chingmy Yau', 'Simon Yam', 'Carrie Ng', 'Madoka Sugawara']",tt0109412
189,The Christmas House,2020 TV Movie,TV-G,6.1,"['Drama', 'Romance']","['Michael Grossman', 'Robert Buckley', 'Ana Ayora', 'Treat Williams', 'Sharon Lawrence']",tt1295090
190,The Architect,2006,R,5.5,"['Crime', 'Drama', 'Romance']","['Matt Tauber', 'Anthony LaPaglia', 'Viola Davis', 'Isabella Rossellini', 'Hayden Panettiere']",tt0466665
191,To Be or Not to Be,1983,PG,6.8,"['Comedy', 'Drama', 'War']","['Alan Johnson', 'Mel Brooks', 'Anne Bancroft', 'Ronny Graham', 'Estelle Reiner']",tt0086450
192,AWOL,2016,Not Rated,5.5,"['Drama', 'Romance']","['Deb Shoval', 'Lola Kirke', 'Kyle Monaghan', 'Dale Soules', 'Madeline Hindmarch']",tt4462372
193,Camp Beaverton: Meet the Beavers,2013,Not Rated,5.0,"['Documentary', 'Adventure', 'Comedy']","['Ana Grillo', 'Beth Nelsen']",tt2741122
194,Out,2020,PG,7.6,"['Animation', 'Short', 'Comedy']","['Steven Clay Hunter', 'Bernadette Sullivan', 'Kyle McDaniel', 'Caleb Cabrera', 'Matthew Martin']",tt1236682
195,Tillsammans,2000,R,7.4,"['Comedy', 'Drama', 'Romance']","['Lukas Moodysson', 'Lisa Lindgren', 'Michael Nyqvist', 'Emma Samuelsson', 'Sam Kessel']",tt0203166
196,Bit,2019,TV-MA,4.3,"['Comedy', 'Horror']","['Brad Michael Elmore', 'Diana Hopper', 'Nicole Maines', 'Zolee Griggs', 'Friday Chamberlain']",tt8425034
197,Camp Belvidere,2014,Not Rated,6.3,"['Short', 'Drama', 'Romance']","['Astrid Ovalles', 'Oriana Oppice', 'Astrid Ovalles', 'Molly Way', 'Stacee Mandeville', 'Spencer Rhys Hughes']",tt3104062
198,Pandora's Box,1929,Not Rated,7.9,"['Crime', 'Drama', 'Romance']","['Georg Wilhelm Pabst', 'Louise Brooks', 'Fritz Kortner', 'Francis Lederer', 'Carl Goetz']",tt0018737
199,Miranda,1948,Not Rated,6.9,"['Comedy', 'Fantasy', 'Romance']","['Ken Annakin', 'Glynis Johns', 'Googie Withers', 'Griffith Jones', 'John McCallum']",tt0040597
200,Memories of a Teenager,2019,Not Rated,6.4,"['Biography', 'Drama', 'Mystery']","['Lucas Santa Ana', 'Renato Quattordio', 'Thomas Lepera', 'Malena Narvay', 'Jerónimo Bosia']",tt1125485
201,Goodbye Mother,2019,Unrated,7.5,"['Comedy', 'Drama', 'Romance']","['Trinh Dinh Le Minh', 'Hong Dao', 'Lanh Thanh', 'Vo Dien Gia Huy', 'Nsut Le Thien']",tt1064197
202,Maschile singolare,2021,-,-,"['Comedy', 'Drama', 'Romance']","['Alessandro Guida', 'Matteo Pilati', 'Giancarlo Commare', 'Eduardo Valdarnini', 'Gianmarco Saurino', 'Michela Giraud']",tt1194180
203,Rebecca,1997,TV-PG,7.3,"['Drama', 'Mystery', 'Romance']","['Charles Dance', 'Diana Rigg', 'Geraldine James', 'Jonathan Cake']",tt0119991
204,The Real L Word,2010,TV-MA,6.0,['Reality-TV'],"['Whitney Mixter', 'Kelsey Grace Chavarria', 'Alyssa Morgan', 'Kacy Boccumini']",tt1561756
205,Margarita with a Straw,2014,Not Rated,7.2,['Drama'],"['Shonali Bose', 'Nilesh Maniyar', 'Kalki Koechlin', 'Revathi', 'Sayani Gupta', 'Hussain Dalal']",tt2929690
206,Caravaggio,1986,-,6.6,"['Biography', 'Drama', 'History']","['Derek Jarman', 'Noam Almaz', 'Dexter Fletcher', 'Nigel Terry', 'Sean Bean']",tt0090798
207,Fox and His Friends,1975,Not Rated,7.7,"['Crime', 'Drama', 'Romance']","['Rainer Werner Fassbinder', 'Rainer Werner Fassbinder', 'Peter Chatel', 'Karlheinz Böhm', 'Adrian Hoven']",tt0072976
208,Henry Gamble's Birthday Party,2015,Unrated,6.1,['Drama'],"['Stephen Cone', 'Cole Doman', 'Joe Keery', 'Elizabeth Laidlaw', 'Pat Healy']",tt3703836
209,Lez Bomb,2018,TV-14,5.1,"['Comedy', 'Drama']","['Jenna Laurenzo', 'Jenna Laurenzo', 'Caitlin Mehner', ""Deirdre O'Connell"", 'Dorothi Fox']",tt3496790
210,Eating Out 2: Sloppy Seconds,2006,Not Rated,6.2,"['Comedy', 'Romance']","['Phillip J. Bartell', 'Jim Verraros', 'Emily Brooke Hands', 'Rebekah Kochan', 'Brett Chukerman']",tt0795376
211,I Dream in Another Language,2017,Unrated,7.4,"['Drama', 'Romance']","['Ernesto Contreras', 'Fernando Álvarez Rebeil', 'José Manuel Poncelis', 'Eligio Meléndez', 'Fátima Molina']",tt3278224
212,Monster Pies,2013,Not Rated,6.7,"['Drama', 'Romance']","['Lee Galea', 'Tristan Barr', 'Lucas Linehan', 'Rohana Hayes', 'Katrina Maree']",tt2379082
213,Dracula's Daughter,1936,Passed,6.3,"['Drama', 'Fantasy', 'Horror']","['Lambert Hillyer', 'Otto Kruger', 'Gloria Holden', 'Marguerite Churchill', 'Edward Van Sloan']",tt0027545
214,The Last Straight Man,2014,Unrated,6.1,"['Comedy', 'Drama', 'Romance']","['Mark Bessenger', 'Mark Cirillo', 'Scott Sell', 'David Alanson Bradberry', 'Victoria De Mare']",tt2609778
215,Totally F***ed Up,1993,Unrated,6.4,"['Comedy', 'Drama', 'Romance']","['Gregg Araki', 'James Duval', 'Roko Belic', 'Susan Behshid', 'Jenee Gill']",tt0108366
216,The Secret Diaries of Miss Anne Lister,2010 TV Movie,TV-14,7.0,"['Biography', 'Drama', 'Romance']","['James Kent', 'Maxine Peake', 'Anna Madeley', 'Susan Lynch', 'Christine Bottomley']",tt1555126
217,Pit Stop,2013,Not Rated,6.0,"['Drama', 'Romance']","['Yen Tan', 'Bailey Bass', 'Marcus DeAnda', 'Yesenia Garcia', 'Bill Heck']",tt2397531
218,Eating Out: All You Can Eat,2009,Not Rated,5.9,"['Comedy', 'Drama', 'Romance']","['Glenn Gaylord', 'Rebekah Kochan', 'Daniel Skelton', 'Chris Salvatore', 'Michael E.R. Walker']",tt1472059
219,"Hello, Stranger: The Movie",2021,-,7.4,"['Comedy', 'Romance']","['Dwein Baltazar', 'Tony Labrusca', 'JC Alcantara', 'Vivoree Esclito', 'Patrick Quiroz']",tt1295193
